iter	Logloss
0	0.6752438257
1	0.659035853
2	0.6419854532
3	0.6301094888
4	0.6145426415
5	0.6003822563
6	0.587033519
7	0.5731301135
8	0.559278403
9	0.5456190425
10	0.5342904667
11	0.5228201811
12	0.5110827127
13	0.49923881
14	0.4877802971
15	0.4779127034
16	0.4686788188
17	0.4597332541
18	0.4505834769
19	0.4414513249
20	0.4323016169
21	0.4239500664
22	0.4159335619
23	0.4071327301
24	0.3990503078
25	0.3922548346
26	0.3856759978
27	0.3780076605
28	0.3710869137
29	0.3660211071
30	0.3598674515
31	0.353269506
32	0.3472564526
33	0.3409739405
34	0.3358912977
35	0.3319948337
36	0.3276908952
37	0.3227620757
38	0.3181860343
39	0.3145711079
40	0.311282991
41	0.3069737764
42	0.3023313375
43	0.2977424957
44	0.2934975515
45	0.2898434015
46	0.2858530984
47	0.2823379376
48	0.2794729819
49	0.2757506874
50	0.2737932636
51	0.2709343509
52	0.2679715484
53	0.2649737832
54	0.2627412379
55	0.2605960961
56	0.2587085575
57	0.2568813578
58	0.255118698
59	0.252199129
60	0.2497139802
61	0.2472328976
62	0.2456901987
63	0.2439088071
64	0.2417000485
65	0.2395400585
66	0.2374416476
67	0.2352952704
68	0.2337704787
69	0.2323738311
70	0.2303779183
71	0.2285039542
72	0.22667019
73	0.2249836583
74	0.2236491326
75	0.2227293373
76	0.2215246246
77	0.2208105047
78	0.2189312659
79	0.217077749
80	0.2162198329
81	0.2146096133
82	0.2131169426
83	0.2117105988
84	0.2110835862
85	0.2100438336
86	0.2083991891
87	0.2076508093
88	0.2061941276
89	0.2051562832
90	0.2043526388
91	0.203531182
92	0.2022378095
93	0.2015878419
94	0.2010347274
95	0.2004265152
96	0.1999456284
97	0.1988782098
98	0.1976438872
99	0.1970173202
100	0.1964177121
101	0.1959250315
102	0.1955671818
103	0.194906254
104	0.1937977933
105	0.193222
106	0.1928828335
107	0.1917972258
108	0.1907743525
109	0.1903949142
110	0.189918042
111	0.1890796144
112	0.1882375491
113	0.1872107756
114	0.1866607705
115	0.1855268401
116	0.1848963208
117	0.1843987448
118	0.1838546818
119	0.1831285655
