iter	Logloss
0	0.652463449
1	0.6149232757
2	0.5839144498
3	0.5569334194
4	0.5342474429
5	0.5125528893
6	0.494631076
7	0.4763173706
8	0.4616680005
9	0.4480025458
10	0.4341065597
11	0.4243915192
12	0.4152387155
13	0.4068812574
14	0.3984167675
15	0.3904657294
16	0.3838240649
17	0.379338309
18	0.3745604991
19	0.3710487797
20	0.3666571868
21	0.3629909909
22	0.3595041795
23	0.3563155378
24	0.354191356
25	0.350915637
26	0.3483106205
27	0.3458071763
28	0.3434964726
29	0.3421145352
30	0.3406332002
31	0.3386129525
32	0.3368720258
33	0.3354540832
34	0.33388023
35	0.3323076422
36	0.3307723812
37	0.3300310083
38	0.3283911946
39	0.3272655871
40	0.3263068937
41	0.325247064
42	0.3240814771
43	0.3228690314
44	0.3221485902
45	0.3213211219
46	0.3202753231
47	0.3193281956
48	0.3186124923
49	0.3174949571
50	0.316648823
51	0.3161019201
52	0.3154941765
53	0.3146952716
54	0.3138869799
55	0.3133403511
56	0.3128203643
57	0.3123069079
58	0.3115802807
59	0.3111663181
60	0.3104191553
61	0.3097353169
62	0.3093127665
63	0.308735168
64	0.3081423902
65	0.3077216137
66	0.307388943
67	0.3069697645
68	0.3066232573
69	0.3061660537
70	0.3057603391
71	0.305370059
72	0.3048324444
73	0.3045130854
74	0.304137572
75	0.3037141313
76	0.3035179532
77	0.3031871524
78	0.3027566094
79	0.3023820333
80	0.3021477153
81	0.3017954721
82	0.30143604
83	0.301135567
84	0.3007911945
85	0.3003164427
86	0.2999407443
87	0.2993924706
88	0.2990858654
89	0.2986834617
90	0.2984046139
91	0.2981698906
92	0.2979496082
93	0.2977394554
94	0.2973967981
95	0.2971432402
96	0.296786245
97	0.2967232346
98	0.2965531501
99	0.2963708273
100	0.2961827121
101	0.2959989013
102	0.2957747316
103	0.295558025
104	0.2954158174
105	0.2951970721
106	0.2949242276
107	0.294751418
108	0.2945362696
109	0.2943356066
110	0.2941851581
111	0.293925836
112	0.2936198752
113	0.2934012261
114	0.2932252931
115	0.2930926738
116	0.2926668828
117	0.2924703743
118	0.2923470856
119	0.2922183372
120	0.2918352413
121	0.2916538721
122	0.2914473489
123	0.291290466
124	0.2911348788
125	0.2910323858
126	0.2908894401
127	0.2907562068
128	0.2905508294
129	0.2904039378
130	0.2902386101
131	0.2901075982
132	0.2899326821
133	0.2897950273
134	0.2896615387
135	0.2892381682
136	0.2891333929
137	0.2888762664
138	0.2887047597
139	0.2885077615
140	0.2883710205
141	0.2882744885
142	0.2881511435
143	0.2880308118
144	0.2878953877
145	0.2877887566
146	0.287680176
147	0.2875615057
148	0.2874861537
